Season,Squad,W,D,L,GF,GA,Pts,Sh
1892/1893,Wolves,12,4,14,47,68,28,
1892/1893,The Wednesday,12,3,15,55,65,27,
1892/1893,Derby County,9,9,12,52,64,27,
1892/1893,Notts County,10,4,16,53,61,24,
1892/1893,Accrington,6,11,13,57,81,23,
1892/1893,Newton Heath,6,6,18,50,85,18,
1891/1892,Sunderland,21,0,5,93,36,42,
1891/1892,Preston,18,1,7,61,31,37,
1891/1892,Bolton,17,2,7,51,37,36,
1891/1892,Aston Villa,15,0,11,89,56,30,
1891/1892,Everton,12,4,10,49,49,28,
1891/1892,Wolves,11,4,11,59,46,26,
1891/1892,Burnley,11,4,11,49,45,26,
1891/1892,Notts County,11,4,11,55,51,26,
1891/1892,Blackburn,10,6,10,58,65,26,
1891/1892,Derby County,10,4,12,46,52,24,
1891/1892,Accrington,8,4,14,40,78,20,
1891/1892,West Brom,6,6,14,51,58,18,
1891/1892,Stoke,5,4,17,38,61,14,
1891/1892,Darwen,4,3,19,38,112,11,
1890/1891,Everton,14,1,7,63,29,29,
1890/1891,Preston,12,3,7,44,23,27,
1890/1891,Notts County,11,4,7,52,35,26,
1890/1891,Wolves,12,2,8,39,50,26,
1890/1891,Bolton,12,1,9,47,34,25,
1890/1891,Blackburn,11,2,9,52,43,24,
1890/1891,Sunderland,10,5,7,51,31,23,
1890/1891,Burnley,9,3,10,52,63,21,
1890/1891,Aston Villa,7,4,11,45,58,18,
1890/1891,Accrington,6,4,12,28,50,16,
1890/1891,Derby County,7,1,14,47,81,15,
1890/1891,West Brom,5,2,15,34,57,12,
1889/1890,Preston,15,3,4,71,30,33,
1889/1890,Everton,14,3,5,65,40,31,
1889/1890,Blackburn,12,3,7,78,41,27,
1889/1890,Wolves,10,5,7,51,38,25,
1889/1890,West Brom,11,3,8,47,50,25,
1889/1890,Accrington,9,6,7,53,56,24,
1889/1890,Derby County,9,3,10,43,55,21,
1889/1890,Aston Villa,7,5,10,43,51,19,
1889/1890,Bolton,9,1,12,54,65,19,
1889/1890,Notts County,6,5,11,43,51,17,
1889/1890,Burnley,4,5,13,36,65,13,
1889/1890,Stoke,3,4,15,27,69,10,
1888/1889,Preston,18,4,0,74,15,40,
1888/1889,Aston Villa,12,5,5,61,43,29,
1888/1889,Wolves,12,4,6,50,37,28,
1888/1889,Blackburn,10,6,6,66,45,26,
1888/1889,Bolton,10,2,10,63,59,22,
1888/1889,West Brom,10,2,10,40,46,22,
1888/1889,Accrington,6,8,8,48,48,20,
1888/1889,Everton,9,2,11,35,46,20,
1888/1889,Burnley,7,3,12,42,62,17,
1888/1889,Derby County,7,2,13,41,61,16,
1888/1889,Notts County,5,2,15,40,73,12,
1888/1889,Stoke,4,4,14,26,51,12,
